old,new
7806_001_S9_R1_001.fastq.gz,SMAY2450225_R1.fastq.gz
7806_001_S9_R2_001.fastq.gz,SMAY2450225_R2.fastq.gz
7806_002_S61_R1_001.fastq.gz,SMAY2450224_R1.fastq.gz
7806_002_S61_R2_001.fastq.gz,SMAY2450224_R2.fastq.gz
7806_003_S72_R1_001.fastq.gz,SMAY2450223_R1.fastq.gz
7806_003_S72_R2_001.fastq.gz,SMAY2450223_R2.fastq.gz
7806_004_S83_R1_001.fastq.gz,SMAY2450226_R1.fastq.gz
7806_004_S83_R2_001.fastq.gz,SMAY2450226_R2.fastq.gz
7806_005_S94_R1_001.fastq.gz,SMAY2450227_R1.fastq.gz
7806_005_S94_R2_001.fastq.gz,SMAY2450227_R2.fastq.gz
7806_006_S105_R1_001.fastq.gz,SMAY24551X_R1.fastq.gz
7806_006_S105_R2_001.fastq.gz,SMAY24551X_R2.fastq.gz
7806_007_S116_R1_001.fastq.gz,SMAY24551_R1.fastq.gz
7806_007_S116_R2_001.fastq.gz,SMAY24551_R2.fastq.gz
7806_008_S127_R1_001.fastq.gz,SMAY24551Z_R1.fastq.gz
7806_008_S127_R2_001.fastq.gz,SMAY24551Z_R2.fastq.gz
7806_009_S138_R1_001.fastq.gz,SMAY24551Y_R1.fastq.gz
7806_009_S138_R2_001.fastq.gz,SMAY24551Y_R2.fastq.gz
7806_010_S10_R1_001.fastq.gz,SMAY245N1_R1.fastq.gz
7806_010_S10_R2_001.fastq.gz,SMAY245N1_R2.fastq.gz
7806_011_S21_R1_001.fastq.gz,SMAY2450222_R1.fastq.gz
7806_011_S21_R2_001.fastq.gz,SMAY2450222_R2.fastq.gz
7806_012_S32_R1_001.fastq.gz,SMAY2450227_R1.fastq.gz
7806_012_S32_R2_001.fastq.gz,SMAY2450227_R2.fastq.gz
7806_013_S43_R1_001.fastq.gz,SMAY2480051_R1.fastq.gz
7806_013_S43_R2_001.fastq.gz,SMAY2480051_R2.fastq.gz
7806_014_S54_R1_001.fastq.gz,SJUNE17502211_R1.fastq.gz
7806_014_S54_R2_001.fastq.gz,SJUNE17502211_R2.fastq.gz
7806_015_S56_R1_001.fastq.gz,SJUNE17800552_R1.fastq.gz
7806_015_S56_R2_001.fastq.gz,SJUNE17800552_R2.fastq.gz
7806_016_S57_R1_001.fastq.gz,SJUNE17800554_R1.fastq.gz
7806_016_S57_R2_001.fastq.gz,SJUNE17800554_R2.fastq.gz
